N/R/U,Applicant,BLA Number,Proprietary Name,Proper Name,BLA Type,Strength,Dosage Form,Route of Administration,Product Presentation,Status,Licensure,Approval Date,Ref. Product Proper Name,Ref. Product Proprietary Name,Supplement Number,Submission Type,License Number,Product Number,Center,Date of First Licensure,Exclusivity Expiration Date,First Interchangeable Exclusivity Exp. Date,Ref. Product Exclusivity Exp. Date,Orphan Exclusivity Exp. Date
U,Bavarian Nordic A/S,103334,Rabavert,Rabies Vaccine,351(a),2.5IU,For Injection,Intramuscular,Single-Dose Vial,Rx,Licensed,10/20/1997,,,0,Original,2096,001,CBER,6/7/1915,,,,
U,"Amgen, Inc.",103353,Neupogen,filgrastim,351(a),300MCG/0.5ML,Injection,"Intravenous, Subcutaneous",Pre-Filled Syringe,Rx,Licensed,6/28/2000,-,,1043,Supplement,1080,003,CDER,,,,,3/30/2022
U,"Amgen, Inc.",103353,Neupogen,filgrastim,351(a),480MCG/0.8ML,Injection,"Intravenous, Subcutaneous",Pre-Filled Syringe,Rx,Licensed,6/28/2000,-,,1043,Supplement,1080,004,CDER,,,,,3/30/2022
U,"Amgen, Inc.",103951,Aranesp,darbepoetin alpha,351(a),60MCG/0.3ML,Injection,"Intravenous, Subcutaneous",Pre-Filled Syringe,Disc,Licensed,12/17/2002,-,,5022,Supplement,1080,014,CDER,,,,,
U,"Amgen, Inc.",103951,Aranesp,darbepoetin alpha,351(a),100MCG/0.5ML,Injection,"Intravenous, Subcutaneous",Pre-Filled Syringe,Disc,Licensed,12/17/2002,-,,5022,Supplement,1080,015,CDER,,,,,
U,"Amgen, Inc.",103951,Aranesp,darbepoetin alpha,351(a),150MCG/0.3ML,Injection,"Intravenous, Subcutaneous",Pre-Filled Syringe,Disc,Licensed,12/17/2002,-,,5022,Supplement,1080,016,CDER,,,,,
U,"Amgen, Inc.",103951,Aranesp,darbepoetin alpha,351(a),200MCG/0.4ML,Injection,"Intravenous, Subcutaneous",Pre-Filled Syringe,Disc,Licensed,12/17/2002,-,,5022,Supplement,1080,017,CDER,,,,,
U,"Amgen, Inc.",103951,Aranesp,darbepoetin alpha,351(a),300MCG/0.6ML,Injection,"Intravenous, Subcutaneous",Pre-Filled Syringe,Disc,Licensed,12/17/2002,-,,5022,Supplement,1080,018,CDER,,,,,
U,"Amgen, Inc.",103951,Aranesp,darbepoetin alpha,351(a),500MCG/1ML,Injection,"Intravenous, Subcutaneous",Pre-Filled Syringe,Disc,Licensed,12/17/2002,-,,5022,Supplement,1080,019,CDER,,,,,
U,ViroPharma Biologics LLC,125267,Cinryze,C1 Esterase Inhibitor (Human),351(a),500U,For Injection,Intravenous,Single-Dose Vial,Rx,Licensed,10/10/2008,,,,Original,1833,001,CBER,10/10/2008,,,,
U,Biogen Inc.,125499,Plegridy,peginterferon beta-1a,351(a),125MCG/0.5ML,Injection,"Subcutaneous, Intramuscular",Autoinjector,Rx,Licensed,8/15/2014,-,,,Original,1697,001,CDER,,,,,
U,Biogen Inc.,125499,Plegridy,peginterferon beta-1a,351(a),125MCG/0.5ML,Injection,"Subcutaneous, Intramuscular",Pre-Filled Syringe,Rx,Licensed,8/15/2014,-,,,Original,1697,004,CDER,,,,,
U,Seqirus Inc.,125510,"Fluad,Fluad Quadrivalent","Influenza Vaccine, Adjuvanted",351(a),60UG/.5ML,Injection,Intramuscular,Pre-Filled Syringe,Rx,Licensed,2/21/2020,,,143,Supplement,2049,002,CBER,11/24/2015,,,,
U,"Emergent Travel Health, Inc.",125597,Vaxchora,Cholera Vaccine Live Oral,351(a),100ML,Suspension,Oral,Packet,Rx,Licensed,6/10/2016,,,,Original,2199,001,CBER,6/10/2016,,,,
N,"Emergent Travel Health, Inc.",125597,Vaxchora,Cholera Vaccine Live Oral,351(a),50ML,For Suspension,Oral,Packet,Rx,Licensed,12/23/2020,,,123,Supplement,2199,002,CBER,6/10/2016,,,,
N,"Emergent Travel Health, Inc.",125597,Vaxchora,Cholera Vaccine Live Oral,351(a),100ML,For Suspension,Oral,Packet,Rx,Licensed,12/23/2020,,,123,Supplement,2199,003,CBER,6/10/2016,,,,
U,"Genentech, Inc.",761149,Enspryng,satralizumab-mwge,351(a),120MG/ML,Injection,Subcutaneous,Pre-Filled Syringe,Rx,Licensed,8/14/2020,,,,Original,1048,001,CDER,,,,,8/14/2027
,Ferring Pharmaceuticals Inc.,017016,Novarel,chorionic gonadotropin,351(a),"20,000UNITS",For Injection,Intramuscular,Multi-Dose Vial,Disc,Licensed,1/15/1974,-,,,Original,2112,004,CDER,,,,,
,Ferring Pharmaceuticals Inc.,017016,Novarel,chorionic gonadotropin,351(a),"5,000UNITS",For Injection,Intramuscular,Multi-Dose Vial,Rx,Licensed,1/15/1974,-,,,Original,2112,006,CDER,,,,,
,Ferring Pharmaceuticals Inc.,017016,Novarel,chorionic gonadotropin,351(a),"10,000UNITS",For Injection,Intramuscular,Multi-Dose Vial,Rx,Licensed,1/15/1974,-,,,Original,2112,007,CDER,,,,,
,Ferring Pharmaceuticals Inc.,017016,Novarel,chorionic gonadotropin,351(a),"2,000UNITS",For Injection,Intramuscular,Multi-Dose Vial,Disc,Licensed,12/27/1984,-,,132,Supplement,2112,009,CDER,,,,,
,Ferring Pharmaceuticals Inc.,017016,Novarel,chorionic gonadotropin,351(a),"15,000UNITS",For Injection,Intramuscular,Multi-Dose Vial,Disc,Licensed,2/15/1985,-,,131,Supplement,2112,010,CDER,,,,,
,Ferring Pharmaceuticals Inc.,017016,Novarel,chorionic gonadotropin,351(a),"2,000UNITS",For Injection,Intramuscular,Multi-Dose Vial,Disc,Licensed,2/16/1990,-,,136,Supplement,2112,011,CDER,,,,,
,Bel-Mar Laboratories Inc,017054,Chorionic Gonadotropin,chorionic gonadotropin,351(a),"5,000UNITS",Injection,Intramuscular,Single-Dose Vial,Disc,Licensed,3/26/1974,-,,,Original,2182,001,CDER,,,,,
,Bel-Mar Laboratories Inc,017054,Chorionic Gonadotropin,chorionic gonadotropin,351(a),"10,000UNITS",Injection,Intramuscular,Single-Dose Vial,Disc,Licensed,3/26/1974,-,,,Original,2182,002,CDER,,,,,
,Ferring Pharmaceuticals Inc.,017055,A.P.L.,chorionic gonadotropin,351(a),"5,000UNITS",For Injection,Intramuscular,Single-Dose Vial,Disc,Licensed,12/13/1974,-,,,Original,2112,001,CDER,,,,,
,Ferring Pharmaceuticals Inc.,017055,A.P.L.,chorionic gonadotropin,351(a),"10,000UNITS",For Injection,Intramuscular,Single-Dose Vial,Disc,Licensed,12/13/1974,-,,,Original,2112,002,CDER,,,,,
,Ferring Pharmaceuticals Inc.,017055,A.P.L.,chorionic gonadotropin,351(a),"20,000UNITS",For Injection,Intramuscular,Single-Dose Vial,Disc,Licensed,12/13/1974,-,,,Original,2112,003,CDER,,,,,
,"Fresenius Kabi USA, LLC",017067,Chorionic Gonadotropin,chorionic gonadotropin,351(a),"5,000UNITS",For Injection,Intramuscular,Multi-Dose Vial,Disc,Licensed,3/5/1973,-,,,Original,2146,001,CDER,,,,,
,"Fresenius Kabi USA, LLC",017067,Chorionic Gonadotropin,chorionic gonadotropin,351(a),"10,000UNITS",For Injection,Intramuscular,Multi-Dose Vial,Rx,Licensed,3/5/1973,-,,,Original,2146,002,CDER,,,,,
,"Fresenius Kabi USA, LLC",017067,Chorionic Gonadotropin,chorionic gonadotropin,351(a),"15,0000UNITS",For Injection,Intramuscular,Multi-Dose Vial,Disc,Licensed,3/5/1973,-,,,Original,2146,003,CDER,,,,,
,"Fresenius Kabi USA, LLC",017067,Chorionic Gonadotropin,chorionic gonadotropin,351(a),"20,000UNITS",For Injection,Intramuscular,Multi-Dose Vial,Disc,Licensed,3/5/1973,-,,,Original,2146,004,CDER,,,,,
,"EMD Serono, Inc.",017646,Pergonal,menotropins,351(a),75IU,For Injection,"Subcutaneous, Intramuscular",Single-Dose Vial,Disc,Licensed,8/22/1975,-,,,Original,1773,001,CDER,,,,,
,"EMD Serono, Inc.",017646,Pergonal,menotropins,351(a),150IU,For Injection,"Subcutaneous, Intramuscular",Single-Dose Vial,Disc,Licensed,5/20/1985,-,,22,Supplement,1773,002,CDER,,,,,
,"Organon USA Inc. a subsidiary of Merck & Co., Inc.",017692,Pregnyl,chorionic gonadotropin,351(a),"10,000UNITS",For Injection,Intramuscular,Multi-Dose Vial,Rx,Licensed,10/20/1976,-,,,Original,2193,001,CDER,,,,,
,Jubilant DraxImage Inc.,017776,Pulmolite,kit for the preparation of technetium Tc-99m albumin aggregated,351(a),1MG/10MG/0.24MG/ 0.7MG/0.13MG/10MG,For Injection,Intravenous,Vial,Disc,Licensed,11/16/1976,-,,,Original,2186,001,CDER,,,,,
,Bracco Diagnostics Inc.,017833,Macrotec,kit for the preparation of technetium Tc-99m albumin aggregated,351(a),1.5MG/10MG/0.07MG/0.19MG/1.8MG,For Injection,Intravenous,Vial,Disc,Licensed,2/23/1976,-,,,Original,2183,001,CDER,,,,,
